#SN,zhel,tmax(B),+/-_x,ref.,Dm15,+/-.1_x,ref..1,M_B,+/-.2_x,B-V,+/-.3_x,Bm-Vm,+/-.4_x,Phot.,ref..2,n_spec,RA,DEC,z_CMB,+/-_y,m_B,+/-.1_y,x_1,+/-.2_y,c,+/-.3_y,mu,+/-.4_y
2002cr,0.0094,52408.6,0.5,"B,M,SA,SN",1.19,0.06,B,-19.45,0.07,-0.15,0.05,-0.14,0.04,CfA3,,7.0,211.656625,-5.439416666666667,0.01,0.001,14.190999999999999,0.018000000000000002,-0.652,0.11599999999999999,0.031,0.015,33.489000000000004,0.311
2002cs,0.0158,52410.0,0.7,"B,SA,SN",0.99,0.03,B,-19.55,0.09,-0.21,0.05,-0.17,0.04,Gan10,,5.0,281.7498333333333,45.70547222222223,,,,,,,,,,
2002cu,0.0228,52415.9,0.4,"B,M,SA,SN",1.35,0.03,B,-19.08,0.08,-0.09,0.05,-0.18,0.06,Gan10,,3.0,272.71,31.108972222222228,,,,,,,,,,
2002cx,0.024,52415.7,1.5,"B,M",1.51,0.09,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,"Jha07,Gan10",,5.0,198.45716666666667,6.958861111111112,,,,,,,,,,
2002de,0.028,52433.5,0.6,"B,M,SA",0.96,0.04,B,-19.51,0.08,-0.16,0.04,-0.26,0.11,"CfA3,Gan10",,11.0,244.12658333333331,35.70838888888889,0.027999999999999997,0.001,16.624000000000002,0.013000000000000001,-0.042,0.397,0.16399999999999998,0.013000000000000001,35.655,0.195
2002dj,0.0093,52450.6,0.2,"B,M,SA,SN",1.19,0.05,B,-19.35,0.07,-0.07,0.05,-0.05,0.04,"CfA3,Gan10",,7.0,198.25141666666664,-19.519083333333327,0.01,0.001,13.95,0.011000000000000001,-0.114,0.146,0.17,0.012,32.96,0.308
2002dl,0.0163,52452.0,0.0,"B,M",1.76,0.05,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,Gan10,,4.0,335.2248333333333,33.29269444444444,,,,,,,,,,
2002do,0.0159,52442.4,0.9,"B,M",1.56,0.08,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,"CfA3,Gan10",,5.0,299.05366666666663,40.43633333333333,0.015,0.001,15.45,0.111,-3.563,0.441,0.027999999999999997,0.052000000000000005,34.453,0.3
2002dp,0.0117,52450.3,0.2,"B,M,SA,SN",1.12,0.04,B,-19.39,0.1,-0.11,0.05,-0.09,0.05,CfA3,,7.0,352.12549999999993,22.42744444444445,0.011000000000000001,0.001,14.548,0.013999999999999999,-0.654,0.22699999999999998,0.145,0.013999999999999999,33.562,0.307
2002ef,0.0236,52490.4,0.4,"B,M,SA,SN",1.06,0.04,B,-19.34,0.08,-0.06,0.04,-0.19,0.03,Gan10,,1.0,357.8730833333333,-13.379555555555555,,,,,,,,,,
2002er,0.0091,52524.9,0.5,"B,M,SA,SN",1.23,0.03,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,Jha07,,2.0,257.87449999999995,7.995777777777778,,,,,,,,,,
