SNIa_uni,z_uni,m_b_uni,m_b_err_uni,s_uni,s_err_uni,c_uni,c_err_uni,mu_uni,mu_err_uni
2006lf,0.013,13.65,0.25,-1.89,0.14,-0.20,0.02,33.24,0.3
2006mo,0.036,17.37,0.07,-2.58,0.25,0.09,0.03,36.15,0.18
2006mp,0.0233,15.95,0.09,0.77,0.23,0.06,0.01,35.20,0.19
2006n,0.0143,15.04,0.16,-2.24,0.19,0.00,0.02,34.08,0.22
2006oa,0.0589,17.85,0.04,0.89,0.31,0.05,0.01,37.11,0.17
2006ob,0.0583,18.22,0.04,-2.76,0.25,0.06,0.02,37.06,0.17
2006on,0.0688,18.38,0.06,0.63,0.78,0.12,0.04,37.49,0.2
2006os,0.0321,17.57,0.08,-0.72,0.16,0.47,0.02,35.65,0.18
2006ot,0.0522,17.99,0.05,-1.43,0.27,0.19,0.03,36.67,0.19
2006qo,0.0308,16.78,0.07,0.31,0.10,0.22,0.01,35.59,0.17
2006s,0.0329,16.81,0.07,0.65,0.12,0.11,0.01,35.94,0.17
2006sr,0.023,16.11,0.10,-1.51,0.23,0.07,0.01,35.07,0.19
